"Year","Subpop","JF","AF","JM","AM"
"1988","GBYA",0,0,0,0
"1988","GBYB",0,0,0,0
"1988","GBYC",0,0,0,0
"1988","N01",0,0,0,0
"1988","N02",0,0,0,0
"1988","N03",0,0,0,1
"1988","N04",0,0,0,1
"1988","N05",0,0,0,0
"1988","N06",0,0,0,0
"1988","N07",0,0,0,1
"1988","N08",0,0,0,0
"1988","N09",0,0,0,1
"1988","N10",0,0,0,0
"1988","N11",0,0,0,0
"1988","N12",0,0,0,0
"1988","N13",0,0,0,0
"1988","N14",0,0,0,0
"1988","N15",0,0,0,0
"1988","N16",0,0,0,0
"1988","N17",0,0,0,0
"1988","N18",0,0,0,0
"1988","N19",0,0,0,0
"1988","N20",0,0,0,0
"1988","N21",0,0,0,0
"1988","N22",0,0,0,0
"1988","N23",0,0,0,0
"1988","N24",0,0,0,0
"1988","N25",0,0,0,0
"1988","N26",0,0,0,0
"1988","N27",0,0,0,0
"1988","S01",0,0,0,0
"1988","S02",0,0.3235,0,0.6765
"1988","S03",0,0,0,0
"1988","S04",0,0,0,0
"1988","S05",0,0,0,0
"1988","S06",0,0,0,0
"1988","S07",0,0,0,0
"1988","S08",0,0,0,0
"1988","S09",0,0,0,0
"1988","S10",0,0,0,0
"1988","S11",0,0,0,0
"1988","S12",0,0,0,0
"1988","S13",0,0,0,0
"1988","S14",0,0,0,0
"1988","S15",0,0,0,0
"1988","S16",0,0,0,0
"1988","S17",0,0,0,0
"1988","S18",0,0,0,0
"1988","S19",0,0,0,0
"1988","S20",0,0,0,0
"1988","S21",0,0,0,0
"1988","S22",0,0,0,0
"1988","S23",0,0,0,0
"1988","S24",0,0,0,0
"1988","YAK",0,0,0,0
"1989","GBYA",0,0,0,0
"1989","GBYB",0,0,0,0
"1989","GBYC",0,0,0,0
"1989","N01",0,0,0,0
"1989","N02",0,0,0,0
"1989","N03",0,0.0833,0,0.9167
"1989","N04",0,0.1429,0,0.8571
"1989","N05",0,0,0,1
"1989","N06",0,0,0,0
"1989","N07",0,0,0,0
"1989","N08",0,0,0,0
"1989","N09",0,0,0,0
"1989","N10",0,0,0,0
"1989","N11",0,0,0,0
"1989","N12",0,0,0,0
"1989","N13",0,0,0,0
"1989","N14",0,0,0,0
"1989","N15",0,0,0,0
"1989","N16",0,0,0,0
"1989","N17",0,0,0,0
"1989","N18",0,0,0,0
"1989","N19",0,0,0,0
"1989","N20",0,1,0,0
"1989","N21",0,0,0,0
"1989","N22",0,0,0,0
"1989","N23",0,0,0,0
"1989","N24",0,0,0,0
"1989","N25",0,0,0,0
"1989","N26",0,0,0,0
"1989","N27",0,0,0,0
"1989","S01",0,0,0,1
"1989","S02",0,0.1522,0.0435,0.8043
"1989","S03",0,0,0,0
"1989","S04",0,0,0,0
"1989","S05",0,0.2353,0,0.7647
"1989","S06",0,0,0,0
"1989","S07",0,0,0,0
"1989","S08",0,0,0,0
"1989","S09",0,0,0,0
"1989","S10",0,0,0,0
