"Var1","Var2","value"
"S10","Angoon",6.02447785938204e-06
"N07","Angoon",1.16409047675376e-05
"N09","Angoon",2.21310721112452e-05
"GBYA","Angoon",4.98139332634562e-06
"N02","Angoon",8.98030260488137e-06
"N01","Angoon",4.72770666913662e-06
"N03","Angoon",1.15704046447569e-05
"N04","Angoon",1.08914932812539e-05
"N05","Angoon",1.1735322133427e-05
"N06","Angoon",9.54892807813027e-06
"N10","Angoon",3.25740895923797e-05
"N11","Angoon",2.01684278659275e-05
"N08","Angoon",8.90544334879922e-06
"S05","Angoon",3.07249715914428e-06
"S04","Angoon",3.70083129455414e-06
"S06","Angoon",3.19148085245481e-06
"S03","Angoon",4.1030954192954e-06
"S02","Angoon",4.5689358614672e-06
"S01","Angoon",6.18367845911724e-06
"S07","Angoon",8.77449206180436e-06
"S08","Angoon",1.1728531307744e-05
"S12","Angoon",6.80111508226864e-06
"S11","Angoon",6.67710379264282e-06
"S15","Angoon",3.13453836394562e-06
"S14","Angoon",2.88161203281202e-06
"YAK","Angoon",2.5045502682509e-06
"GBYC","Angoon",7.69259914978211e-06
"GBYB","Angoon",5.87763767697102e-06
"S13","Angoon",3.01134859681601e-06
"S20","Angoon",5.40238477484954e-06
"S17","Angoon",3.7553412018155e-06
"N15","Angoon",2.10057940096707e-05
"S22","Angoon",6.02249792915866e-06
"N20","Angoon",1.2669553230518e-05
"N14","Angoon",1.75216665309419e-05
"N16","Angoon",1.26845261372138e-05
"N23","Angoon",0.000106041489210884
"N22","Angoon",1.95163769951086e-05
"N13","Angoon",2.49482118278115e-05
"N18","Angoon",1.90342995865117e-05
"N27","Angoon",5.16248937604663e-06
"N21","Angoon",1.0733058949683e-05
"N26","Angoon",7.60325279722659e-06
"N25","Angoon",8.12344462564288e-06
"N24","Angoon",1.02415775099022e-05
"N17","Angoon",1.41827341066737e-05
"N12","Angoon",3.12840511042918e-05
"N19","Angoon",1.34346748897861e-05
"S23","Angoon",9.32183504512273e-06
"S16","Angoon",3.86055574861823e-06
"S24","Angoon",2.52273336458966e-06
"S21","Angoon",4.48364044543152e-06
"S18","Angoon",3.66168243862228e-06
"S19","Angoon",4.95443264911859e-06
"S09","Angoon",8.14846733646823e-06
"S10","Sitka",6.65747692484551e-06
"N07","Sitka",9.05764843060812e-06
"N09","Sitka",2.07976897513961e-05
"GBYA","Sitka",4.53353894192847e-06
"N02","Sitka",8.81225662322725e-06
"N01","Sitka",4.70596587330537e-06
"N03","Sitka",1.60256811113797e-05
"N04","Sitka",3.09514605606533e-05
"N05","Sitka",4.85676702912725e-05
"N06","Sitka",1.89345434608801e-05
"N10","Sitka",2.72985001364542e-05
"N11","Sitka",1.85845189638541e-05
"N08","Sitka",6.83302278789283e-06
"S05","Sitka",3.2434483761643e-06
"S04","Sitka",4.07248374984672e-06
"S06","Sitka",3.4340806618466e-06
"S03","Sitka",4.53152129291082e-06
"S02","Sitka",5.12756674072377e-06
"S01","Sitka",7.31702210968556e-06
"S07","Sitka",1.07088614697417e-05
"S08","Sitka",1.07117248179956e-05
"S12","Sitka",6.9668984308383e-06
"S11","Sitka",6.2708370452331e-06
"S15","Sitka",3.25993384366576e-06
"S14","Sitka",2.94875604424297e-06
"YAK","Sitka",2.5108825691948e-06
"GBYC","Sitka",6.48048005469402e-06
"GBYB","Sitka",5.08007570799518e-06
"S13","Sitka",3.12967460965747e-06
"S20","Sitka",5.55793246144641e-06
"S17","Sitka",3.75588136809344e-06
"N15","Sitka",1.27074817913648e-05
"S22","Sitka",5.48828142404554e-06
"N20","Sitka",7.22745515206085e-06
"N14","Sitka",1.04543312419255e-05
"N16","Sitka",8.58049167091355e-06
"N23","Sitka",1.58210174445411e-05
"N22","Sitka",9.58102321144963e-06
"N13","Sitka",9.34435272937244e-06
"N18","Sitka",8.47380608700991e-06
"N27","Sitka",4.24933790119523e-06
"N21","Sitka",7.26705979236556e-06
"N26","Sitka",5.73639569518506e-06
"N25","Sitka",5.81104093534796e-06
