Subreg_Year,Subregion,Year,Lower95,Median,Upper95,Mean,SD,Mode,MCerr,MC%ofSD,SSeff,AC.100,psrf
"N[1,1]",N01,1975,19.1078,29.9837,42.1639,30.41060026,5.931023264,NA,0.060720061,1,9541,-0.0042291,1.00139472
"N[1,2]",N01,1976,21.9813,36.6541,53.7693,37.31734014,8.33731714,NA,0.08411589,1,9824,-0.002542674,1.000957925
"N[1,3]",N01,1977,25.1972,44.21215,68.4558,45.35633904,11.24356208,NA,0.106253056,0.9,11198,-0.008542157,1.000971781
"N[1,4]",N01,1978,27.8108,53.0258,83.8067,54.52421057,14.73366351,NA,0.145930117,1,10194,0.004813002,1.000800579
"N[1,5]",N01,1979,31.8232,62.4152,102.594,64.65224235,18.74358885,NA,0.180976808,1,10727,0.003674676,1.000555677
"N[1,6]",N01,1980,35.9524,72.2948,121.755,75.38461963,22.74714973,NA,0.229239249,1,9846,-0.004043064,1.000847729
"N[1,7]",N01,1981,40.4789,82.93,140.725,86.71578751,27.01824312,NA,0.262939665,1,10558,0.001302746,1.001284779
"N[1,8]",N01,1982,45.9817,93.74215,161.556,98.21422416,31.65868761,NA,0.320461512,1,9760,0.001476941,1.001388323
"N[1,9]",N01,1983,47.6957,104.8865,183.754,110.158179,36.87184014,NA,0.402010672,1.1,8412,0.013236373,1.00176144
"N[1,10]",N01,1984,52.2532,115.1745,205.563,121.5297535,42.09541646,NA,0.495098205,1.2,7229,0.020194085,1.002886367
"N[1,11]",N01,1985,53.4365,124.584,223.465,132.2180475,46.59916098,NA,0.579042614,1.2,6476,0.023648692,1.003228545
"N[1,12]",N01,1986,61.3026,134.481,248.167,142.5229769,50.95063337,NA,0.670147671,1.3,5780,0.018437851,1.003563673
"N[1,13]",N01,1987,64.7656,142.9355,262.031,151.8734484,54.56444291,NA,0.762487698,1.4,5121,0.022138123,1.005236232
"N[1,14]",N01,1988,57.2844,146.437,271.034,156.4045162,59.33567093,NA,0.850652251,1.4,4866,0.022798787,1.00498329
"N[1,15]",N01,1989,52.0646,149.289,283.949,160.9270853,64.57254337,NA,0.921712427,1.4,4908,0.032280764,1.005391818
"N[1,16]",N01,1990,56.4263,151.618,300.472,164.3714324,68.66556244,NA,0.991114028,1.4,4800,0.033446771,1.004767761
"N[1,17]",N01,1991,54.9706,152.6455,313.56,166.6896251,72.05905185,NA,1.084122585,1.5,4418,0.024802464,1.004772711
"N[1,18]",N01,1992,53.068,154.431,318.5,169.1053346,75.48488922,NA,1.176007001,1.6,4120,0.024542798,1.004824885
"N[1,19]",N01,1993,52.2447,154.8575,324.124,170.1408349,77.0352247,NA,1.1686358,1.5,4345,0.021434292,1.004344152
"N[1,20]",N01,1994,52.1442,154.983,326.548,170.8579283,78.02370052,NA,1.18886625,1.5,4307,0.029312369,1.004241574
"N[1,21]",N01,1995,51.6144,154.5515,331.794,171.0052955,79.3575997,NA,1.164784715,1.5,4642,0.028258433,1.004416361
"N[1,22]",N01,1996,47.5577,154.295,328.167,171.278368,80.53815267,NA,1.212341452,1.5,4413,0.028074886,1.004374595
"N[1,23]",N01,1997,53.4563,153.045,334.274,170.5300394,80.40396826,NA,1.236049186,1.5,4231,0.028611069,1.004632468
"N[1,24]",N01,1998,50.2247,152.5,326.254,169.6044751,79.8665472,NA,1.246217686,1.6,4107,0.036316262,1.004307823
"N[1,25]",N01,1999,53.4433,150.7545,324.752,167.8636946,79.20342656,NA,1.183935049,1.5,4475,0.036256717,1.004488516
"N[1,26]",N01,2000,57.252,148.9465,320.482,165.590043,76.81446339,NA,1.192775355,1.6,4147,0.037241926,1.004206297
"N[1,27]",N01,2001,54.0021,146.1695,302.389,161.9718009,74.263139,NA,1.154382461,1.6,4139,0.040127723,1.00455525
"N[1,28]",N01,2002,54.2991,143.5235,292.511,157.4691463,70.2207758,NA,1.106844612,1.6,4025,0.046065193,1.004697714
"N[1,29]",N01,2003,53.1242,147.5305,304.381,162.1981593,73.98044229,NA,1.178394914,1.6,3941,0.044713959,1.004018271
"N[1,30]",N01,2004,53.5851,150.1835,314.162,165.9162388,76.58521407,NA,1.200526594,1.6,4070,0.040713098,1.004344266
"N[1,31]",N01,2005,53.2425,151.7725,320.079,168.529622,79.40525704,NA,1.219985875,1.5,4236,0.042181094,1.00403404
"N[1,32]",N01,2006,52.3383,153.4385,327.212,170.5371239,81.12313096,NA,1.248536004,1.5,4222,0.043433966,1.004490369
"N[1,33]",N01,2007,54.8654,154.4075,329.828,172.1587343,82.11953085,NA,1.304584108,1.6,3962,0.040704983,1.004475265
"N[1,34]",N01,2008,54.2922,154.461,332.882,172.4675954,81.86606927,NA,1.32888178,1.6,3795,0.043526256,1.004150373
"N[1,35]",N01,2009,54.663,155.3345,335.592,172.8139762,81.43936576,NA,1.276919411,1.6,4068,0.040345533,1.004329569
"N[1,36]",N01,2010,53.7601,154.318,326.033,171.9460336,79.05036847,NA,1.244653478,1.6,4034,0.036179975,1.003881312
"N[1,37]",N01,2011,53.7619,156.0925,322.546,171.6645518,77.28152232,NA,1.2853124,1.7,3615,0.049595031,1.004633737
"N[1,38]",N01,2012,58.1948,156.225,337.217,173.5430423,80.65885541,NA,1.315036099,1.6,3762,0.038546401,1.004615811
"N[2,1]",N02,1975,49.6587,76.2769,110.234,77.43038718,15.56732655,NA,0.762396623,4.9,417,0.444017665,1.020357406
"N[2,2]",N02,1976,55.5498,93.783,140.347,96.27091802,22.62472019,NA,1.08528309,4.8,435,0.448975159,1.015120452
"N[2,3]",N02,1977,64.4179,115.5215,182.204,119.1806667,31.52434928,NA,1.629822974,5.2,374,0.46343951,1.012422026
"N[2,4]",N02,1978,71.0133,141.671,230.472,147.2745133,42.68567454,NA,2.30981602,5.4,342,0.48842574,1.010391597
"N[2,5]",N02,1979,79.358,171.8725,292.54,180.8369809,57.46077845,NA,3.094336947,5.4,345,0.516215839,1.009940044
"N[2,6]",N02,1980,98.9286,209.816,372.731,220.8943623,73.51539947,NA,4.016699779,5.5,335,0.514356746,1.014305012
"N[2,7]",N02,1981,111.75,252.1385,452.303,266.3510632,92.42398998,NA,5.2314464,5.7,312,0.534770823,1.013014275
"N[2,8]",N02,1982,112.348,288.7675,531.888,307.3740447,114.2803996,NA,6.226021141,5.4,337,0.542308641,1.00954078
"N[2,9]",N02,1983,128.014,343.206,619.051,361.7224448,132.5890137,NA,7.493651018,5.7,313,0.554414157,1.00887463
"N[2,10]",N02,1984,163.137,401.8045,728.331,421.4235327,151.6770575,NA,8.595929734,5.7,311,0.542405869,1.012456648
"N[2,11]",N02,1985,185.551,461.7905,816.215,482.2560024,170.5056203,NA,8.690298796,5.1,385,0.526627707,1.028340088
"N[2,12]",N02,1986,205.235,519.7195,918.428,545.0760445,189.5950833,NA,9.162346317,4.8,428,0.500877015,1.019636006
"N[2,13]",N02,1987,240.218,577.044,997.198,604.5954281,198.3423922,NA,9.893676839,5,402,0.469034681,1.029665731
"N[2,14]",N02,1988,313.181,641.0865,1149.08,671.7811279,217.0520548,NA,11.19556203,5.2,376,0.470697266,1.026434868
