Year,N,N_LO,N_HI
1975,500.3366438,417.041,587.168
1976,629.7652967,517.622,762.326
1977,787.4896509,629.2,965.799
1978,978.6048314,748.902,1197.67
1979,1205.227134,921.089,1506.04
1980,1474.95961,1111.6,1847.33
1981,1787.169131,1342.34,2242.64
1982,2146.147185,1624.02,2721.97
1983,2558.3226,1948.26,3269.12
1984,3024.947232,2247.28,3791.39
1985,3542.753449,2673.87,4451.24
1986,4137.181116,3097.5,5182.1
1987,4788.826045,3666.25,6007.87
1988,5388.074675,4159.38,6838.97
1989,5784.126506,4338.16,7336.94
1990,6251.844164,4620.47,8032.69
1991,6859.264029,5044.76,8835.71
1992,7174.933921,5244.69,9409.1
1993,7062.914248,4927.05,9422.82
1994,7503.00179,5308.65,10155.1
1995,7975.782219,5560.86,10675
1996,8604.615055,5940.74,11374.7
1997,9152.98617,6463.97,12206.9
1998,9695.389953,6948.12,12934.9
1999,10219.09361,7317.21,13541.7
2000,10812.55394,7875.73,14193.8
2001,11567.91111,8518.95,15046.9
2002,12293.40254,9155.65,15831.1
2003,13221.34925,9989.81,16827.7
2004,14562.21187,11184.4,18640.5
2005,15881.945,11900.3,19963.3
2006,17508.20019,13324.7,22143.8
2007,18838.34287,14290.9,24058.5
2008,20734.00916,15759.4,26576.7
2009,22195.54106,16521.9,28228.5
2010,23857.21591,17914.8,30773.2
2011,25584.35156,18739,33163.1
2012,27092.74835,19526.1,35573.9
