"GEOID","com","xYear","n","Year"
"0203440","Angoon","x1990",638,1990
"0203440","Angoon","x2001",560.7,2001
"0203440","Angoon","x2005",515.5,2005
"0203440","Angoon","x2009",470.3,2009
"0203440","Angoon","x2002",549.4,2002
"0203440","Angoon","x1995",605,1995
"0203440","Angoon","x2006",504.2,2006
"0203440","Angoon","x2010",459,2010
"0203440","Angoon","x2003",538.1,2003
"0203440","Angoon","x2007",492.9,2007
"0203440","Angoon","x2000",572,2000
"0203440","Angoon","x1993",618.2,1993
"0203440","Angoon","x2004",526.8,2004
"0203440","Angoon","x2008",481.6,2008
"0203440","Angoon","x1996",598.4,1996
"0203440","Angoon","x1994",611.6,1994
"0203440","Angoon","x1998",585.2,1998
"0203440","Angoon","x1991",631.4,1991
"0203440","Angoon","x1997",591.8,1997
"0203440","Angoon","x1999",578.6,1999
"0203440","Angoon","x1992",624.8,1992
"0216360","Coffman Cove","x1995",192.5,1995
"0216360","Coffman Cove","x1990",186,1990
"0216360","Coffman Cove","x1996",193.8,1996
"0216360","Coffman Cove","x2007",182.9,2007
"0216360","Coffman Cove","x1993",189.9,1993
"0216360","Coffman Cove","x1991",187.3,1991
"0216360","Coffman Cove","x1997",195.1,1997
"0216360","Coffman Cove","x2008",180.6,2008
"0216360","Coffman Cove","x1994",191.2,1994
"0216360","Coffman Cove","x2005",187.5,2005
"0216360","Coffman Cove","x2009",178.3,2009
"0216360","Coffman Cove","x2002",194.4,2002
"0216360","Coffman Cove","x1999",197.7,1999
"0216360","Coffman Cove","x2006",185.2,2006
"0216360","Coffman Cove","x1992",188.6,1992
"0216360","Coffman Cove","x2003",192.1,2003
"0216360","Coffman Cove","x2000",199,2000
"0216360","Coffman Cove","x2004",189.8,2004
"0216360","Coffman Cove","x2001",196.7,2001
"0216360","Coffman Cove","x1998",196.4,1998
"0216360","Coffman Cove","x2010",176,2010
"0217740","Craig","x1995",1328.5,1995
"0217740","Craig","x1993",1301.1,1993
"0217740","Craig","x1996",1342.2,1996
"0217740","Craig","x1994",1314.8,1994
"0217740","Craig","x1990",1260,1990
"0217740","Craig","x2002",1357.8,2002
"0217740","Craig","x2009",1220.6,2009
"0217740","Craig","x1991",1273.7,1991
"0217740","Craig","x2003",1338.2,2003
"0217740","Craig","x2010",1201,2010
"0217740","Craig","x2000",1397,2000
"0217740","Craig","x1992",1287.4,1992
"0217740","Craig","x1997",1355.9,1997
"0217740","Craig","x2004",1318.6,2004
"0217740","Craig","x2001",1377.4,2001
"0217740","Craig","x2007",1259.8,2007
"0217740","Craig","x1998",1369.6,1998
"0217740","Craig","x2005",1299,2005
"0217740","Craig","x2008",1240.2,2008
"0217740","Craig","x1999",1383.3,1999
"0217740","Craig","x2006",1279.4,2006
"0230940","Gustavus","x2002",431.6,2002
"0230940","Gustavus","x2003",432.9,2003
"0230940","Gustavus","x1993",309.3,1993
"0230940","Gustavus","x2000",429,2000
"0230940","Gustavus","x1995",343.5,1995
"0230940","Gustavus","x2004",434.2,2004
"0230940","Gustavus","x1994",326.4,1994
"0230940","Gustavus","x2001",430.3,2001
"0230940","Gustavus","x1996",360.6,1996
"0230940","Gustavus","x1998",394.8,1998
"0230940","Gustavus","x1991",275.1,1991
"0230940","Gustavus","x1990",258,1990
"0230940","Gustavus","x1997",377.7,1997
"0230940","Gustavus","x1992",292.2,1992
"0230940","Gustavus","x2010",442,2010
"0230940","Gustavus","x2009",440.7,2009
"0230940","Gustavus","x2007",438.1,2007
"0230940","Gustavus","x2005",435.5,2005
"0230940","Gustavus","x2006",436.8,2006
"0230940","Gustavus","x2008",439.4,2008
"0230940","Gustavus","x1999",411.9,1999
"0233360","Hoonah","x2000",860,2000
"0233360","Hoonah","x2001",850,2001
"0233360","Hoonah","x2002",840,2002
"0233360","Hoonah","x2009",770,2009
"0233360","Hoonah","x1995",827.5,1995
"0233360","Hoonah","x1993",814.5,1993
"0233360","Hoonah","x2003",830,2003
"0233360","Hoonah","x1992",808,1992
"0233360","Hoonah","x1996",834,1996
"0233360","Hoonah","x2007",790,2007
"0233360","Hoonah","x1999",853.5,1999
"0233360","Hoonah","x2004",820,2004
"0233360","Hoonah","x1997",840.5,1997
"0233360","Hoonah","x1990",795,1990
"0233360","Hoonah","x1994",821,1994
"0233360","Hoonah","x2005",810,2005
"0233360","Hoonah","x1998",847,1998
"0233360","Hoonah","x1991",801.5,1991
"0233360","Hoonah","x2008",780,2008
"0233360","Hoonah","x2006",800,2006
"0233360","Hoonah","x2010",760,2010
"0234460","Hydaburg","x2010",376,2010
"0234460","Hydaburg","x2007",377.8,2007
"0234460","Hydaburg","x1996",382.8,1996
"0234460","Hydaburg","x2000",382,2000
"0234460","Hydaburg","x1993",383.4,1993
"0234460","Hydaburg","x2003",380.2,2003
"0234460","Hydaburg","x2008",377.2,2008
"0234460","Hydaburg","x2001",381.4,2001
"0234460","Hydaburg","x1994",383.2,1994
"0234460","Hydaburg","x2009",376.6,2009
"0234460","Hydaburg","x2002",380.8,2002
"0234460","Hydaburg","x1995",383,1995
"0234460","Hydaburg","x2006",378.4,2006
"0234460","Hydaburg","x1999",382.2,1999
"0234460","Hydaburg","x1992",383.6,1992
"0234460","Hydaburg","x1997",382.6,1997
"0234460","Hydaburg","x1990",384,1990
"0234460","Hydaburg","x2004",379.6,2004
"0234460","Hydaburg","x1998",382.4,1998
"0234460","Hydaburg","x1991",383.8,1991
"0234460","Hydaburg","x2005",379,2005
"0236400","Juneau","x2007",31105.8,2007
